model,model_short,run_dir,pooling,selected_condition,layer,mean_absent,mean_condition,mean_delta,ci95_low_delta,ci95_high_delta,paired_p,cohen_d,region,layer_rank_fraction
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,17,0.0865883846290169,0.3668483299965022,0.2802599453674853,0.2194379150696638,0.341288418412668,1.3070958408518974e-15,0.7769226954962123,middle,0.53125
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,18,0.093259483993345,0.3905423236306666,0.2972828396373215,0.2346092597253919,0.3582832832227669,1.9210344437138204e-16,0.805656802281016,middle,0.5625
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,19,0.0703316098981673,0.4042443566234669,0.3339127467252996,0.2764280708757303,0.392644691186696,4.813924352362947e-21,0.9619450833631608,middle,0.59375
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,20,0.0713342946484738,0.4164409145177923,0.3451066198693184,0.2892349141268697,0.4002754728761376,4.9510555747735893e-23,1.0290325200144266,middle,0.625
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,21,0.067760373195449,0.406613575082234,0.338853201886785,0.2813118117574689,0.3964934941777467,2.102054039689052e-22,1.0078313293777226,middle,0.65625
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,22,0.0593413742215294,0.4035989503525279,0.3442575761309984,0.2903473106216025,0.3986060929214348,1.776241257070845e-24,1.0779152216445975,late,0.6875
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,23,0.0569351084269796,0.4094742495546055,0.352539141127626,0.2999684217019082,0.4046216476110899,9.674250130137038e-26,1.1208267700247283,late,0.71875
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,24,0.0581948852631092,0.4071459522255662,0.3489510669624569,0.2953088788651332,0.4004717812517455,1.2272474695152152e-25,1.1173118210388469,late,0.75
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,25,0.05676313533799,0.414097263261855,0.3573341279238649,0.3057508251522178,0.408812771314143,1.9996891330411828e-26,1.144157108312554,late,0.78125
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,26,0.0608736280699567,0.4225980942957964,0.3617244662258397,0.3094465244559328,0.4124364860769631,5.03903326101775e-27,1.16461320929356,late,0.8125
